 Image,RA,DEC,Simple,Dust strip,Bulge,Overlap,Irregular,X-type,Interacting
,29.44907,-14.84396,1,0,-1,-1,-1,-1,-1
,122.54700,24.89303,1,-1,-1,-1,-1,-1,-1
,350.78785,20.06656,-1,1,1,-1,-1,-1,-1
,10.44317,-2.34102,-1,1,-1,-1,-1,0,-1
,248.72078,26.13779,-1,1,1,-1,-1,1,-1
,31.29222,24.66596,1,-1,-1,-1,-1,-1,-1
,221.86861,1.02625,-1,1,0,-1,-1,0,-1
,56.73106, -11.80613,1,-1,-1,-1,0,-1,-1
,6.44879,-2.28439,1,-1,-1,-1,-1,-1,-1
,179.89775,0.18735,1,-1,0,-1,-1,-1,-1
,166.66004, -0.75631,1,-1,0,-1,-1,-1,-1
,36.68810,22.75128,-1,1,-1,-1,-1,1,-1
,181.93035,-1.61590,1,-1,-1,-1,-1,-1,-1
,149.05520,37.07442,1,-1,-1,-1,-1,-1,-1
,348.45982,22.16065,-1,-1,1,-1,-1,-1,-1
,18.53452,-1.92049,1,-1,-1,-1,-1,-1,-1
,40.19400,1.34305,-1,1,1,-1,-1,-1,-1
,348.92812,8.92765,-1,1,1,-1,0,-1,-1
,55.73351,-12.91610,-1,1,-1,-1,-1,-1,-1
,39.67642,6.90911,-1,1,-1,-1,-1,1,-1
,52.28142,4.24347,-1,1,1,-1,1,-1,-1
,78.87362,-1.49390,-1,-1,1,-1,-1,1,-1
,323.13277,4.39880,-1,1,0,0,-1,1,-1
,185.25939,3.72215,-1,1,-1,-1,-1,1,-1
,351.30067,22.99276,-1,1,1,-1,-1,0,-1
,349.54246,10.25100,-1,1,1,0,-1,1,-1
,211.62915,6.02762,-1,1,-1,-1,-1,-1,-1
,128.21922, -4.45662,-1,1,-1,-1,-1,-1,-1
,229.95325,48.71735,-1,1,0,1,-1,-1,-1
,255.11357,-4.65853,1,0,-1,-1,-1,-1,-1
,349.660081021964,-10.4081048415646,-1,1,1,-1,1,-1,-1
,180.96362386,1.13035586,1,-1,0,-1,-1,-1,-1
,39.0240231879078,21.609619829367,1,0,-1,-1,-1,-1,-1
,339.159450825634,18.7039334215273,-1,1,-1,-1,-1,-1,-1
